gameId,gameDate,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,gameType,attendance,arenaId,gameLabel,gameSubLabel,seriesGameNumber
22401163,4/9/2025 22:00,Golden State,Warriors,1610612744,San Antonio,Spurs,1610612759,111,114,1610612759,Regular Season,18064,1000011,,,
22401164,4/9/2025 22:00,Phoenix,Suns,1610612756,Oklahoma City,Thunder,1610612760,112,125,1610612760,Regular Season,17071,1000145,,,
22401165,4/9/2025 22:00,Sacramento,Kings,1610612758,Denver,Nuggets,1610612743,116,124,1610612743,Regular Season,16161,609,,,
22401162,4/9/2025 21:00,Utah,Jazz,1610612762,Portland,Trail Blazers,1610612757,133,126,1610612762,Regular Season,18175,1000106,,,
22401160,4/9/2025 20:00,Chicago,Bulls,1610612741,Miami,Heat,1610612748,119,111,1610612741,Regular Season,20509,66,,,
22401158,4/9/2025 19:30,Toronto,Raptors,1610612761,Charlotte,Hornets,1610612766,126,96,1610612761,Regular Season,19800,643,,,
22401159,4/9/2025 19:30,Dallas,Mavericks,1610612742,Los Angeles,Lakers,1610612747,97,112,1610612747,Regular Season,20841,193,,,
22401156,4/9/2025 19:00,Orlando,Magic,1610612753,Boston,Celtics,1610612738,96,76,1610612753,Regular Season,19128,1000125,,,
22401157,4/9/2025 19:00,Washington,Wizards,1610612764,Philadelphia,76ers,1610612755,103,122,1610612755,Regular Season,17222,77,,,
22401155,4/8/2025 22:30,Los Angeles,Clippers,1610612746,San Antonio,Spurs,1610612759,122,117,1610612746,Regular Season,17927,1000137,,,
22401154,4/8/2025 22:00,Phoenix,Suns,1610612756,Golden State,Warriors,1610612744,95,133,1610612744,Regular Season,17071,1000145,,,
22401152,4/8/2025 20:00,Milwaukee,Bucks,1610612749,Minnesota,Timberwolves,1610612750,110,103,1610612749,Regular Season,17341,642,,,
22401153,4/8/2025 20:00,Oklahoma City,Thunder,1610612760,Los Angeles,Lakers,1610612747,136,120,1610612760,Regular Season,18203,1000052,,,
22401150,4/8/2025 19:30,Brooklyn,Nets,1610612751,New Orleans,Pelicans,1610612740,119,114,1610612751,Regular Season,16407,461,,,
22401151,4/8/2025 19:30,New York,Knicks,1610612752,Boston,Celtics,1610612738,117,119,1610612738,Regular Season,19812,30,,,
22401146,4/8/2025 19:00,Charlotte,Hornets,1610612766,Memphis,Grizzlies,1610612763,100,124,1610612763,Regular Season,17125,9,,,
22401147,4/8/2025 19:00,Cleveland,Cavaliers,1610612739,Chicago,Bulls,1610612741,135,113,1610612739,Regular Season,19432,1000144,,,
